pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889C3Gesture,visible,2,3,1543427029255,1543427029866,0
P01,CS889C3Gesture,visible,2,4,1543427030496,1543427031124,0
P01,CS889C3Gesture,visible,2,5,1543427031847,1543427032791,0
P01,CS889C3Gesture,visible,2,6,1543427033535,1543427034095,0
P01,CS889C3Gesture,visible,2,7,1543427034954,1543427035474,0
P01,CS889C3Gesture,visible,2,8,1543427036125,1543427037042,0
P01,CS889C3Gesture,visible,2,9,1543427037666,1543427038161,0
P01,CS889C3Gesture,visible,2,10,1543427038841,1543427039391,0
P01,CS889C3Gesture,visible,2,11,1543427040150,1543427040729,0
P01,CS889C3Gesture,visible,2,12,1543427041465,1543427042059,0
P01,CS889C3Gesture,visible,2,13,1543427042672,1543427043269,0
P01,CS889C3Gesture,visible,2,14,1543427043857,1543427044427,0
P01,CS889C3Gesture,visible,2,15,1543427045256,1543427045858,0
